,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-04-30T12:45:10.299-05:00,   0.913E-01,   0.09129
      2,2021-04-30T12:45:10.375-05:00,   0.913E-01,   0.18257
      3,2021-04-30T12:45:10.451-05:00,   0.913E-01,   0.27386
      4,2021-04-30T12:45:10.554-05:00,   0.913E-01,   0.36515
      5,2021-04-30T12:45:10.651-05:00,   0.760E-01,   0.44116
      6,2021-04-30T12:45:10.748-05:00,   0.633E-01,   0.50445
      7,2021-04-30T12:45:10.862-05:00,   0.535E-01,   0.55798
      8,2021-04-30T12:45:10.960-05:00,   0.467E-01,   0.60466
      9,2021-04-30T12:45:11.055-05:00,   0.404E-01,   0.64502
     10,2021-04-30T12:45:11.147-05:00,   0.404E-01,   0.68538
     20,2021-04-30T12:45:12.004-05:00,   0.219E-01,   0.95858
     30,2021-04-30T12:45:12.799-05:00,   0.189E-01,   1.15647
     40,2021-04-30T12:45:13.617-05:00,   0.170E-01,   1.34144
     50,2021-04-30T12:45:14.414-05:00,   0.170E-01,   1.51094
     60,2021-04-30T12:45:15.254-05:00,   0.151E-01,   1.67318
     70,2021-04-30T12:45:16.102-05:00,   0.151E-01,   1.82451
     80,2021-04-30T12:45:16.932-05:00,   0.127E-01,   1.96604
     90,2021-04-30T12:45:17.746-05:00,   0.127E-01,   2.09287
    100,2021-04-30T12:45:18.572-05:00,   0.127E-01,   2.21970
    200,2021-04-30T12:45:26.982-05:00,   0.104E-01,   3.31543
    300,2021-04-30T12:45:35.412-05:00,   0.113E-01,   4.40484
    400,2021-04-30T12:45:43.894-05:00,   0.105E-01,   5.49600
    500,2021-04-30T12:45:52.397-05:00,   0.123E-01,   6.63711
    600,2021-04-30T12:46:01.127-05:00,   0.104E-01,   7.81151
    700,2021-04-30T12:46:09.581-05:00,   0.126E-01,   8.95912
    800,2021-04-30T12:46:18.404-05:00,   0.150E-01,  10.14900
    900,2021-04-30T12:46:27.033-05:00,   0.133E-01,  11.57637
   1000,2021-04-30T12:46:35.880-05:00,   0.121E-01,  12.90520
   1100,2021-04-30T12:46:44.790-05:00,   0.130E-01,  14.12124
   1200,2021-04-30T12:46:53.421-05:00,   0.172E-01,  15.64077
   1300,2021-04-30T12:47:02.068-05:00,   0.155E-01,  17.24468
   1400,2021-04-30T12:47:10.849-05:00,   0.145E-01,  18.75293
   1500,2021-04-30T12:47:19.617-05:00,   0.141E-01,  20.23077
   1600,2021-04-30T12:47:28.216-05:00,   0.134E-01,  21.63772
   1700,2021-04-30T12:47:36.740-05:00,   0.143E-01,  23.16083
   1800,2021-04-30T12:47:45.300-05:00,   0.170E-01,  24.75276
   1900,2021-04-30T12:47:53.885-05:00,   0.164E-01,  26.23739
   2000,2021-04-30T12:48:02.485-05:00,   0.144E-01,  27.78359
   2100,2021-04-30T12:48:10.982-05:00,   0.169E-01,  29.23453
   2200,2021-04-30T12:48:19.444-05:00,   0.169E-01,  30.92183
   2300,2021-04-30T12:48:28.000-05:00,   0.160E-01,  32.42878
   2400,2021-04-30T12:48:36.560-05:00,   0.145E-01,  34.05608
   2500,2021-04-30T12:48:45.110-05:00,   0.148E-01,  35.63200
   2600,2021-04-30T12:48:53.612-05:00,   0.157E-01,  37.09651
   2700,2021-04-30T12:49:02.153-05:00,   0.144E-01,  38.58357
   2800,2021-04-30T12:49:10.703-05:00,   0.186E-01,  40.26594
   2900,2021-04-30T12:49:19.263-05:00,   0.155E-01,  41.96417
   3000,2021-04-30T12:49:27.864-05:00,   0.143E-01,  43.53677
   3100,2021-04-30T12:49:36.628-05:00,   0.165E-01,  45.09103
   3200,2021-04-30T12:49:45.260-05:00,   0.161E-01,  46.70187
   3300,2021-04-30T12:49:54.347-05:00,   0.189E-01,  48.32065
   3400,2021-04-30T12:50:03.462-05:00,   0.162E-01,  49.93899
   3500,2021-04-30T12:50:12.933-05:00,   0.138E-01,  51.48805
   3600,2021-04-30T12:50:22.012-05:00,   0.157E-01,  53.06079
   3700,2021-04-30T12:50:31.225-05:00,   0.144E-01,  54.57985
   3800,2021-04-30T12:50:39.881-05:00,   0.156E-01,  56.13581
   3900,2021-04-30T12:50:49.299-05:00,   0.158E-01,  57.78072
   4000,2021-04-30T12:50:58.789-05:00,   0.174E-01,  59.48511
   4033,2021-04-30T12:51:01.897-05:00,   0.730E-02,  60.00000
