s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 0.0000000E+000, 0.0000000E+000,-2.0256382E-004,-6.5793197E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0256448E-004, 0.0000000E+000, 0.0000000E+000,-5.9075833E-001
 1.0153308E+000, 6.6668398E+001,-1.9280494E+001,-7.3825909E-003,-9.0461132E-001,-4.1967870E-003, 1.7305158E+001, 0.0000000E+000, 5.7428401E+001, 6.3776871E+001, 1.4499910E-003, 1.4499910E-003, 4.5943521E+002
 2.0013974E+000, 1.2295820E+002,-3.1049142E+001,-1.4389056E-002,-1.9228346E+000,-8.5356510E-003, 3.5728308E+001, 0.0000000E+000, 1.2506712E+002, 1.2569160E+002, 2.7832138E-003, 2.7832138E-003, 1.4376153E+003
 3.0053000E+000, 1.3725937E+002,-3.4860296E+001,-1.5935909E-002,-4.8316397E+000,-9.3492875E-003, 3.8926539E+001, 0.0000000E+000, 1.3644928E+002, 1.3646868E+002, 3.0600933E-003, 3.0600933E-003, 2.5255122E+003
 4.0117888E+000, 1.4144394E+002,-3.5482978E+001,-1.6101796E-002,-1.2161813E+001,-9.4675383E-003, 3.7701352E+001, 0.0000000E+000, 1.3150240E+002, 1.3147493E+002, 3.1013689E-003, 3.1013689E-003, 3.5820694E+003
 5.0129237E+000, 1.4424873E+002,-3.6358160E+001,-1.6223584E-002,-1.4286061E+001,-9.4904028E-003, 3.7713915E+001, 0.0000000E+000, 1.3133076E+002, 1.3129271E+002, 3.1069603E-003, 3.1069603E-003, 4.6333991E+003
 6.0139899E+000, 1.4504513E+002,-3.6866737E+001,-1.6240393E-002,-1.4596470E+001,-9.4950310E-003, 3.7618477E+001, 0.0000000E+000, 1.3121019E+002, 1.3117466E+002, 3.1077100E-003, 3.1077100E-003, 5.6819798E+003
 7.0024443E+000, 1.4286369E+002,-3.6925456E+001,-1.6238528E-002,-1.5575857E+001,-9.4906653E-003, 3.6263651E+001, 0.0000000E+000, 1.2660910E+002, 1.2660030E+002, 3.1078111E-003, 3.1078111E-003, 6.6799290E+003
 8.0007935E+000, 1.4488398E+002,-3.7630081E+001,-1.6150275E-002,-1.6839443E+001,-9.5120576E-003, 3.6302852E+001, 0.0000000E+000, 1.2662987E+002, 1.2669164E+002, 3.1078249E-003, 3.1078249E-003, 7.6886645E+003
 9.0070972E+000, 1.4434071E+002,-3.7770237E+001,-1.6209718E-002,-1.7649895E+001,-9.5203989E-003, 3.5729902E+001, 0.0000000E+000, 1.2464099E+002, 1.2462475E+002, 3.1078268E-003, 3.1078268E-003, 8.6897403E+003
 1.0000020E+001, 1.4238807E+002,-3.7714490E+001,-1.6187671E-002,-1.8219740E+001,-9.5208299E-003, 3.4696568E+001, 0.0000000E+000, 1.2119770E+002, 1.2112470E+002, 3.1078270E-003, 3.1078270E-003, 9.6491793E+003
 1.1001319E+001, 1.4476565E+002,-3.8861129E+001,-1.6165342E-002,-1.9287431E+001,-9.5291232E-003, 3.4686520E+001, 0.0000000E+000, 1.2125582E+002, 1.2127792E+002, 3.1078271E-003, 3.1078271E-003, 1.0616065E+004
