,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-04-30T14:20:11.936-05:00,   0.913E-01,   0.09129
      2,2021-04-30T14:20:12.007-05:00,   0.913E-01,   0.18257
      3,2021-04-30T14:20:12.082-05:00,   0.913E-01,   0.27386
      4,2021-04-30T14:20:12.177-05:00,   0.913E-01,   0.36515
      5,2021-04-30T14:20:12.255-05:00,   0.913E-01,   0.45644
      6,2021-04-30T14:20:12.332-05:00,   0.913E-01,   0.54772
      7,2021-04-30T14:20:12.453-05:00,   0.649E-01,   0.61266
      8,2021-04-30T14:20:12.554-05:00,   0.516E-01,   0.66430
      9,2021-04-30T14:20:12.653-05:00,   0.458E-01,   0.71012
     10,2021-04-30T14:20:12.772-05:00,   0.403E-01,   0.75046
     20,2021-04-30T14:20:13.633-05:00,   0.247E-01,   1.04003
     30,2021-04-30T14:20:14.412-05:00,   0.247E-01,   1.28704
     40,2021-04-30T14:20:15.246-05:00,   0.215E-01,   1.52129
     50,2021-04-30T14:20:16.047-05:00,   0.193E-01,   1.72746
     60,2021-04-30T14:20:16.847-05:00,   0.171E-01,   1.89867
     70,2021-04-30T14:20:17.648-05:00,   0.171E-01,   2.06988
     80,2021-04-30T14:20:18.451-05:00,   0.150E-01,   2.22196
     90,2021-04-30T14:20:19.221-05:00,   0.150E-01,   2.37191
    100,2021-04-30T14:20:20.015-05:00,   0.150E-01,   2.52186
    200,2021-04-30T14:20:27.975-05:00,   0.147E-01,   3.93818
    300,2021-04-30T14:20:36.129-05:00,   0.147E-01,   5.41043
    400,2021-04-30T14:20:45.014-05:00,   0.133E-01,   6.83009
    500,2021-04-30T14:20:53.418-05:00,   0.146E-01,   8.26331
    600,2021-04-30T14:21:01.820-05:00,   0.155E-01,   9.75124
    700,2021-04-30T14:21:10.639-05:00,   0.153E-01,  11.27623
    800,2021-04-30T14:21:19.406-05:00,   0.150E-01,  12.76761
    900,2021-04-30T14:21:28.443-05:00,   0.150E-01,  14.26776
   1000,2021-04-30T14:21:36.844-05:00,   0.146E-01,  15.83038
   1100,2021-04-30T14:21:45.188-05:00,   0.161E-01,  17.42337
   1200,2021-04-30T14:21:53.408-05:00,   0.174E-01,  19.05144
   1300,2021-04-30T14:22:01.536-05:00,   0.174E-01,  20.79456
   1400,2021-04-30T14:22:09.696-05:00,   0.156E-01,  22.50413
   1500,2021-04-30T14:22:17.834-05:00,   0.169E-01,  24.16874
   1600,2021-04-30T14:22:25.958-05:00,   0.178E-01,  25.89564
   1700,2021-04-30T14:22:34.040-05:00,   0.178E-01,  27.67823
   1800,2021-04-30T14:22:42.150-05:00,   0.159E-01,  29.44203
   1900,2021-04-30T14:22:50.255-05:00,   0.172E-01,  31.19549
   2000,2021-04-30T14:22:58.279-05:00,   0.190E-01,  32.99277
   2100,2021-04-30T14:23:06.326-05:00,   0.323E-01,  35.20381
   2200,2021-04-30T14:23:14.501-05:00,   0.216E-01,  37.34551
   2300,2021-04-30T14:23:22.499-05:00,   0.235E-01,  39.79934
   2400,2021-04-30T14:23:30.546-05:00,   0.248E-01,  41.98668
   2500,2021-04-30T14:23:38.648-05:00,   0.241E-01,  44.42896
   2600,2021-04-30T14:23:46.651-05:00,   0.238E-01,  46.71358
   2700,2021-04-30T14:23:54.684-05:00,   0.229E-01,  49.14042
   2800,2021-04-30T14:24:02.723-05:00,   0.219E-01,  51.40917
   2900,2021-04-30T14:24:10.736-05:00,   0.209E-01,  53.60206
   3000,2021-04-30T14:24:18.736-05:00,   0.265E-01,  56.03494
   3100,2021-04-30T14:24:26.771-05:00,   0.257E-01,  58.59407
   3159,2021-04-30T14:24:31.541-05:00,   0.544E-02,  60.00000
