s,m/s
Time,"DUCT_FLOW_RATE"
 0.0000000E+000, 2.9562098E-003
 2.2821773E-001, 2.9645215E-003
 4.5643546E-001, 3.2285230E-003
 5.9199421E-001, 3.5718696E-003
 6.9799814E-001, 3.7332906E-003
 7.9119553E-001, 3.8295548E-003
 8.8439293E-001, 3.8816257E-003
 9.6451713E-001, 3.9207628E-003
 1.0446413E+000, 3.9166226E-003
 1.1247655E+000, 3.8842576E-003
 1.1950866E+000, 3.8390289E-003
 1.2654076E+000, 3.7728011E-003
 1.3357286E+000, 3.6941529E-003
 1.4060496E+000, 3.6095535E-003
 1.4763706E+000, 3.5238109E-003
 1.5387933E+000, 3.4522346E-003
 1.6012160E+000, 3.3820038E-003
 1.7260615E+000, 3.2846744E-003
 1.8509070E+000, 3.1647984E-003
 1.9133297E+000, 3.0803273E-003
 2.0381752E+000, 3.0028127E-003
 2.1005979E+000, 2.9346160E-003
 2.2254433E+000, 2.8835563E-003
 2.3502888E+000, 2.8412617E-003
 2.4127115E+000, 2.8256852E-003
 2.5375570E+000, 2.8202029E-003
 2.6624025E+000, 2.8213950E-003
 2.7248252E+000, 2.8278749E-003
 2.8496706E+000, 2.8400653E-003
 2.9120934E+000, 2.8565666E-003
 3.0369388E+000, 2.8759148E-003
 3.1617843E+000, 2.9002862E-003
 3.2242070E+000, 2.9155945E-003
 3.3490525E+000, 2.9292431E-003
 3.4114752E+000, 2.9433692E-003
 3.5363207E+000, 2.9596044E-003
 3.6611661E+000, 2.9837433E-003
 3.7235889E+000, 3.0009952E-003
 3.8484343E+000, 3.0148963E-003
 3.9108570E+000, 3.0247702E-003
 4.0357025E+000, 3.0317444E-003
 4.1605480E+000, 3.0417851E-003
 4.2229707E+000, 3.0513838E-003
 4.3478162E+000, 3.0618592E-003
 4.4102389E+000, 3.0720413E-003
 4.5350843E+000, 3.0800926E-003
 4.6599298E+000, 3.0857906E-003
 4.7223525E+000, 3.0882073E-003
 4.8471980E+000, 3.0915937E-003
 4.9096207E+000, 3.0965289E-003
 5.0344662E+000, 3.1023932E-003
 5.1593116E+000, 3.1101388E-003
 5.2217344E+000, 3.1145584E-003
 5.3465798E+000, 3.1157037E-003
 5.4090026E+000, 3.1156601E-003
 5.5338480E+000, 3.1160453E-003
 5.6586935E+000, 3.1180820E-003
 5.7211162E+000, 3.1206098E-003
 5.8459617E+000, 3.1234364E-003
 5.9083844E+000, 3.1255799E-003
 6.0332299E+000, 3.1260811E-003
 6.1580753E+000, 3.1248309E-003
 6.2204980E+000, 3.1234161E-003
 6.3453435E+000, 3.1226969E-003
 6.4077662E+000, 3.1228650E-003
 6.5326117E+000, 3.1237447E-003
 6.6574572E+000, 3.1244521E-003
 6.7198799E+000, 3.1238328E-003
 6.8447253E+000, 3.1219050E-003
 6.9071481E+000, 3.1193970E-003
 7.0319935E+000, 3.1170260E-003
 7.1568390E+000, 3.1148775E-003
 7.2192617E+000, 3.1139558E-003
 7.3441072E+000, 3.1130500E-003
 7.4065299E+000, 3.1116045E-003
 7.5313754E+000, 3.1091405E-003
 7.6562208E+000, 3.1048878E-003
 7.7186436E+000, 3.1016101E-003
 7.8434890E+000, 3.0988916E-003
 7.9059117E+000, 3.0967562E-003
 8.0307572E+000, 3.0950367E-003
 8.1556027E+000, 3.0924482E-003
 8.2180254E+000, 3.0898334E-003
 8.3428709E+000, 3.0864497E-003
 8.4052936E+000, 3.0827059E-003
 8.5301390E+000, 3.0789932E-003
