s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.2295343E-002,-3.2787549E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2298622E-002, 0.0000000E+000, 0.0000000E+000
 2.2821774E-001, 3.9117601E+001,-5.3526766E-004, 6.7006924E-001, 1.1732433E-008, 3.7676185E-003, 0.0000000E+000, 0.0000000E+000,-6.3262600E-003, 3.9790902E+001, 5.4913247E-003, 5.4913247E-003
 4.5643547E-001, 1.1550141E+002,-5.4454873E+000, 1.8767768E+000,-1.4710659E-001, 1.3651183E-002, 0.0000000E+000, 0.0000000E+000, 3.9709993E+001, 1.1179925E+002, 1.0456411E-002, 1.0456411E-002
 5.9195673E-001, 1.9440626E+002,-3.1459530E+001, 2.7470671E+000,-5.9116740E-001, 3.1114139E-002, 0.0000000E+000, 0.0000000E+000, 1.1151119E+002, 1.6513374E+002, 1.3005237E-002, 1.3005237E-002
 6.9795632E-001, 2.3984483E+002,-9.7634873E+001, 2.3585700E+000,-1.3647077E+000, 3.9342929E-002, 0.0000000E+000, 0.0000000E+000, 1.6464298E+002, 1.4324316E+002, 1.4761968E-002, 1.4761968E-002
 7.9114646E-001, 2.7188607E+002,-1.8809542E+002, 1.3637901E+000,-1.9920933E+000, 3.7113499E-002, 0.0000000E+000, 0.0000000E+000, 1.4293700E+002, 8.3199459E+001, 1.6132472E-002, 1.6132472E-002
 8.8433659E-001, 2.9573468E+002,-1.9803440E+002, 1.5773150E+000,-2.2152431E+000, 4.9684977E-002, 0.0000000E+000, 0.0000000E+000, 8.2754184E+001, 9.7112044E+001, 1.7344802E-002, 1.7344802E-002
 9.6442342E-001, 3.2407814E+002,-1.7646908E+002, 2.3855607E+000,-2.3613810E+000, 5.7166866E-002, 0.0000000E+000, 0.0000000E+000, 9.6698837E+001, 1.4769041E+002, 1.8266603E-002, 1.8266603E-002
 1.0445101E+000, 3.4117707E+002,-2.0433286E+002, 2.1601425E+000,-2.6331271E+000, 6.2632020E-002, 0.0000000E+000, 0.0000000E+000, 1.4708975E+002, 1.3643386E+002, 1.9084646E-002, 1.9084646E-002
 1.1245970E+000, 3.5789138E+002,-1.9419368E+002, 2.5791196E+000,-2.6883895E+000, 6.8343350E-002, 0.0000000E+000, 0.0000000E+000, 1.3570234E+002, 1.6365677E+002, 1.9806728E-002, 1.9806728E-002
 1.1948450E+000, 3.8289013E+002,-1.7363604E+002, 3.2611073E+000,-2.7080122E+000, 7.2160283E-002, 0.0000000E+000, 0.0000000E+000, 1.6306700E+002, 2.0987934E+002, 2.0367605E-002, 2.0367605E-002
 1.2650930E+000, 2.8943745E+002,-8.8336275E+001, 3.1629368E+000,-2.8354483E+000, 7.5340619E-002, 0.0000000E+000, 0.0000000E+000, 2.0918534E+002, 2.0150400E+002, 2.0866632E-002, 2.0866632E-002
 1.3353410E+000, 3.0252116E+002,-1.0430043E+002, 3.0180210E+000,-2.7721318E+000, 7.8049746E-002, 0.0000000E+000, 0.0000000E+000, 2.0113645E+002, 1.9854467E+002, 2.1309355E-002, 2.1309355E-002
 1.4055890E+000, 2.9779335E+002,-8.7991945E+001, 3.2109939E+000,-2.7113052E+000, 7.9769990E-002, 0.0000000E+000, 0.0000000E+000, 1.9816871E+002, 2.1038087E+002, 2.1701130E-002, 2.1701130E-002
 1.4758370E+000, 4.7313404E+002,-1.0530047E+002, 5.2733848E+000,-2.5846180E+000, 8.0973939E-002, 0.0000000E+000, 0.0000000E+000, 2.1013016E+002, 3.7060331E+002, 2.2047037E-002, 2.2047037E-002
 1.5261132E+000, 5.1714660E+002,-3.5817541E+002, 2.6449225E+000,-3.3183681E+000, 8.1601757E-002, 0.0000000E+000, 0.0000000E+000, 3.7263910E+002, 1.5837934E+002, 2.2269103E-002, 2.2269103E-002
 1.6144003E+000, 5.9273679E+002,-1.9150258E+002, 5.8604603E+000,-2.8940235E+000, 8.3166997E-002, 0.0000000E+000, 0.0000000E+000, 2.9208910E+002, 4.0428382E+002, 2.2532582E-002, 2.2532582E-002
