,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2021-05-08T16:44:50.148-05:00,   0.228E+00,   0.22822
      2,2021-05-08T16:44:50.184-05:00,   0.228E+00,   0.45644
      3,2021-05-08T16:44:50.229-05:00,   0.136E+00,   0.59199
      4,2021-05-08T16:44:50.287-05:00,   0.106E+00,   0.69800
      5,2021-05-08T16:44:50.331-05:00,   0.932E-01,   0.79120
      6,2021-05-08T16:44:50.366-05:00,   0.932E-01,   0.88439
      7,2021-05-08T16:44:50.424-05:00,   0.801E-01,   0.96452
      8,2021-05-08T16:44:50.459-05:00,   0.801E-01,   1.04464
      9,2021-05-08T16:44:50.494-05:00,   0.801E-01,   1.12477
     10,2021-05-08T16:44:50.549-05:00,   0.703E-01,   1.19509
     20,2021-05-08T16:44:50.930-05:00,   0.624E-01,   1.85091
     30,2021-05-08T16:44:51.298-05:00,   0.624E-01,   2.47513
     40,2021-05-08T16:44:51.680-05:00,   0.624E-01,   3.09936
     50,2021-05-08T16:44:52.049-05:00,   0.624E-01,   3.72359
     60,2021-05-08T16:44:52.416-05:00,   0.624E-01,   4.34782
     70,2021-05-08T16:44:52.800-05:00,   0.624E-01,   4.97204
     80,2021-05-08T16:44:53.167-05:00,   0.624E-01,   5.59627
     90,2021-05-08T16:44:53.537-05:00,   0.624E-01,   6.22050
    100,2021-05-08T16:44:53.919-05:00,   0.624E-01,   6.84473
    200,2021-05-08T16:44:57.917-05:00,   0.562E-01,  13.08075
    300,2021-05-08T16:45:02.015-05:00,   0.562E-01,  18.69812
    400,2021-05-08T16:45:05.761-05:00,   0.562E-01,  24.31550
    500,2021-05-08T16:45:09.455-05:00,   0.562E-01,  29.93287
    600,2021-05-08T16:45:13.161-05:00,   0.562E-01,  35.55025
    700,2021-05-08T16:45:16.942-05:00,   0.562E-01,  41.16762
    800,2021-05-08T16:45:20.657-05:00,   0.562E-01,  46.78499
    900,2021-05-08T16:45:24.611-05:00,   0.562E-01,  52.40237
   1000,2021-05-08T16:45:28.454-05:00,   0.562E-01,  58.01974
   1100,2021-05-08T16:45:32.193-05:00,   0.562E-01,  63.63712
   1200,2021-05-08T16:45:35.912-05:00,   0.562E-01,  69.25449
   1300,2021-05-08T16:45:39.642-05:00,   0.562E-01,  74.87186
   1400,2021-05-08T16:45:43.361-05:00,   0.562E-01,  80.48924
   1500,2021-05-08T16:45:47.127-05:00,   0.562E-01,  86.10661
   1600,2021-05-08T16:45:50.964-05:00,   0.562E-01,  91.72399
   1700,2021-05-08T16:45:54.984-05:00,   0.562E-01,  97.34136
   1748,2021-05-08T16:45:56.898-05:00,   0.185E-01, 100.00000
